,order_id,categoria,categoria_final
1305,3417aa576662236ea66ef37b0558d6fd,['MODA E BELEZA'],MODA E BELEZA
1306,341d0ee42d08b192c88aaa1c360f97e9,['MODA E BELEZA'],MODA E BELEZA
1307,3444a96bd74b41c9ef9ff23c7ee3c4c5,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1308,344c86e9cc82d497519e09dc351d28ff,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1309,3457d1d203987e3898c4516a101b5d36,['MODA E BELEZA'],MODA E BELEZA
1310,3459f554a17b52bc945b6cb98f90142e,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1311,34688497162fbb53b24e10738f912fa4,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1312,347b03aea6fd08c3bd68e2b30a3fe3e3,['MODA E BELEZA'],MODA E BELEZA
1313,34871174fe1f4c68f7efac5e5b3fbbde,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1314,34933c9ece23c40d4591be765e2b7f27,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1315,34957a1f241c065c4bffb7af05754b6a,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1316,3495837ea2ea4a98c76ca37122b2a933,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1317,34a9dd848ef0ebd4ae4b60d31720497d,['ARTES E DECORACAO'],ARTES E DECORACAO
1318,34ae1a80ab2f660940fbf9a2110f86e4,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1319,34b02644fdec1c2023ccffd67de2b385,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1320,34be9444467af1f6d854ea4054a47e85,['MODA E BELEZA'],MODA E BELEZA
1321,34dc2f9bce0427122de8cd6afdb03c2c,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1322,34f7d354b559b06f85fde0f588dd5152,['MODA E BELEZA'],MODA E BELEZA
1323,34fa15662de2057126fbb0b0f1c1120f,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1324,3505c513a3095f2c4f59e29ec7d77b68,['MODA E BELEZA'],MODA E BELEZA
1325,350600c11f111d462b138f8e6d1a36e7,['BRINQUEDOS E LAZER'],BRINQUEDOS E LAZER
1326,350b4986b8364b9e61619b2e3f2dc817,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1327,3516e5d5f67c23496363aa89756c4cba,['CASA E CONFORTO'],CASA E CONFORTO
1328,351c4682748b3e66dd18732d650baff2,['CASA E CONFORTO'],CASA E CONFORTO
1329,351cc103e775642319456a5962fd7a9f,['CASA E CONFORTO'],CASA E CONFORTO
1330,352d96ca187708670e0f8ec35af10421,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1331,353a971e298d36b113bdded48003102d,['MOVEIS E ELETRODOMESTICOS'],MOVEIS E ELETRODOMESTICOS
1332,35546dd6349a2065ed8ac6ffbd2b7aba,['AUTOMOTIVO'],AUTOMOTIVO
1333,356320c581316d9fc10af6ecbdb0931c,['FERRAMENTAS E CONSTRUCAO'],FERRAMENTAS E CONSTRUCAO
1334,3566eabb132f8d64741ae7b921bbd10e,['CASA E CONFORTO'],CASA E CONFORTO
1335,3570e34137f62140285ee90fed63ec69,"['ELETRONICOS,INFORMATICA E AUDIO']","ELETRONICOS,INFORMATICA E AUDIO"
1336,357e26bc92e720c2b487e879d07506d7,['MODA E BELEZA'],MODA E BELEZA
1337,357f2ad2d9ea3e63b225cfee8ad3b2a1,"['LIVROS, MUSICA E PAPELARIA']","LIVROS, MUSICA E PAPELARIA"
